CoC_Name,State,Overall_Homeless,Unsheltered_Homeless
"Nassau, Suffolk Counties CoC",NY,3868,52
Springfield/Hampden County CoC,MA,3368,44
Maine Statewide CoC,ME,2516,98
"Yonkers, Mount Vernon/Westchester County CoC",NY,1827,44
Cleveland/Cuyahoga County CoC,OH,1808,78
"Omaha, Council Bluffs CoC",NE,1411,64
Cincinnati/Hamilton County CoC,OH,1114,47
Rhode Island Statewide CoC,RI,1101,51
Anchorage CoC,AK,1094,94
"Quincy, Brockton, Weymouth, Plymouth City and County CoC",MA,1090,22
Delaware Statewide CoC,DE,1082,93
Lynn CoC,MA,1061,42