CoC_Name,CoC_Number,Homeless_Individuals,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_SH_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,State,Unsheltered_Homeless
Anchorage CoC,AK-500,791,1147,704,0,393,1097,AK,50
Anchorage CoC,AK-500,905,1105,573,0,292,865,AK,240
Anchorage CoC,AK-500,736,1023,665,0,305,970,AK,53
Anchorage CoC,AK-500,848,1128,654,0,319,973,AK,155
Anchorage CoC,AK-500,814,1094,751,0,249,1000,AK,94
Anchorage CoC,AK-500,837,1208,694,0,335,1029,AK,179
Anchorage CoC,AK-500,844,1122,676,0,394,1070,AK,52
Alaska Balance of State CoC,AK-501,506,717,363,0,215,578,AK,139
Alaska Balance of State CoC,AK-501,622,835,434,0,199,633,AK,202
Alaska Balance of State CoC,AK-501,473,761,474,0,195,669,AK,92
Alaska Balance of State CoC,AK-501,518,824,461,0,210,671,AK,153
Alaska Balance of State CoC,AK-501,505,748,433,0,177,610,AK,138
Alaska Balance of State CoC,AK-501,507,766,435,0,184,619,AK,147
Alaska Balance of State CoC,AK-501,620,922,497,0,210,707,AK,215
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,932,1092,540,31,304,875,AL,217
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,915,1329,387,31,497,915,AL,414
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,1222,1707,347,32,630,1009,AL,698
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,1089,1469,373,31,556,960,AL,509
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,720,901,431,32,219,682,AL,219
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,886,1153,448,20,448,916,AL,237
"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",AL-500,927,1228,531,34,467,1032,AL,196
Mobile City & County/Baldwin County CoC,AL-501,399,551,225,0,93,318,AL,233
Mobile City & County/Baldwin County CoC,AL-501,397,598,287,0,174,461,AL,137
Mobile City & County/Baldwin County CoC,AL-501,343,493,153,0,107,260,AL,233
Mobile City & County/Baldwin County CoC,AL-501,426,606,196,0,145,341,AL,265
Mobile City & County/Baldwin County CoC,AL-501,422,634,212,0,112,324,AL,310
Mobile City & County/Baldwin County CoC,AL-501,470,578,258,0,106,364,AL,214
Mobile City & County/Baldwin County CoC,AL-501,477,623,284,0,103,387,AL,236
Florence/Northwest Alabama CoC,AL-502,132,209,38,0,151,189,AL,20
Florence/Northwest Alabama CoC,AL-502,166,256,128,0,106,234,AL,22
Florence/Northwest Alabama CoC,AL-502,158,245,60,0,154,214,AL,31
Florence/Northwest Alabama CoC,AL-502,194,337,85,0,201,286,AL,51
Florence/Northwest Alabama CoC,AL-502,162,192,18,0,170,188,AL,4
Florence/Northwest Alabama CoC,AL-502,133,223,22,0,175,197,AL,26
Florence/Northwest Alabama CoC,AL-502,155,155,27,0,106,133,AL,22
Huntsville/North Alabama CoC,AL-503,448,607,336,0,96,432,AL,175
Huntsville/North Alabama CoC,AL-503,457,586,320,0,89,409,AL,177
Huntsville/North Alabama CoC,AL-503,386,536,413,0,86,499,AL,37
Huntsville/North Alabama CoC,AL-503,336,424,283,0,25,308,AL,116
Huntsville/North Alabama CoC,AL-503,283,385,282,0,16,298,AL,87
Huntsville/North Alabama CoC,AL-503,327,436,325,0,12,337,AL,99
Huntsville/North Alabama CoC,AL-503,300,420,339,0,18,357,AL,63
Montgomery City & County CoC,AL-504,284,377,221,0,93,314,AL,63
Montgomery City & County CoC,AL-504,446,515,159,0,240,399,AL,116
Montgomery City & County CoC,AL-504,333,441,171,0,202,373,AL,68
Montgomery City & County CoC,AL-504,285,367,173,0,120,293,AL,74
Montgomery City & County CoC,AL-504,365,490,120,0,289,409,AL,81
Montgomery City & County CoC,AL-504,272,369,173,0,127,300,AL,69
Montgomery City & County CoC,AL-504,383,487,96,0,247,343,AL,144
Gadsden/Northeast Alabama CoC,AL-505,130,163,91,0,12,103,AL,60
Gadsden/Northeast Alabama CoC,AL-505,359,438,354,0,14,368,AL,70
Gadsden/Northeast Alabama CoC,AL-505,451,544,211,0,213,424,AL,120
Gadsden/Northeast Alabama CoC,AL-505,133,167,55,0,36,91,AL,76
Gadsden/Northeast Alabama CoC,AL-505,140,156,97,0,6,103,AL,53
Gadsden/Northeast Alabama CoC,AL-505,119,146,74,8,4,86,AL,60
Gadsden/Northeast Alabama CoC,AL-505,275,399,159,0,170,329,AL,70
Tuscaloosa City & County CoC,AL-506,167,245,11,0,122,133,AL,112
Tuscaloosa City & County CoC,AL-506,105,177,14,0,33,47,AL,130
Tuscaloosa City & County CoC,AL-506,188,339,0,0,144,144,AL,195
Tuscaloosa City & County CoC,AL-506,140,200,93,3,41,137,AL,63
Tuscaloosa City & County CoC,AL-506,72,99,11,0,84,95,AL,4
Tuscaloosa City & County CoC,AL-506,35,57,35,0,21,56,AL,1
Tuscaloosa City & County CoC,AL-506,99,152,12,0,116,128,AL,24
Alabama Balance of State CoC,AL-507,591,764,151,0,265,416,AL,348
Alabama Balance of State CoC,AL-507,394,716,241,0,303,544,AL,172
Alabama Balance of State CoC,AL-507,393,638,201,0,271,472,AL,166
Alabama Balance of State CoC,AL-507,615,827,177,0,282,459,AL,368
Alabama Balance of State CoC,AL-507,572,905,358,0,239,597,AL,308
Alabama Balance of State CoC,AL-507,638,886,431,0,385,816,AL,70
Alabama Balance of State CoC,AL-507,523,730,170,0,270,440,AL,290
Little Rock/Central Arkansas CoC,AR-500,742,808,288,0,181,469,AR,339
Little Rock/Central Arkansas CoC,AR-500,764,830,254,0,237,491,AR,339
Little Rock/Central Arkansas CoC,AR-500,950,1081,335,0,196,531,AR,550
Little Rock/Central Arkansas CoC,AR-500,1065,1249,329,0,433,762,AR,487
Little Rock/Central Arkansas CoC,AR-500,951,1074,342,0,229,571,AR,503
Little Rock/Central Arkansas CoC,AR-500,986,1066,244,0,319,563,AR,503
Little Rock/Central Arkansas CoC,AR-500,892,1006,316,0,140,456,AR,550
Fayetteville/Northwest Arkansas CoC,AR-501,388,551,156,0,173,329,AR,222
Fayetteville/Northwest Arkansas CoC,AR-501,379,668,313,0,133,446,AR,222
Fayetteville/Northwest Arkansas CoC,AR-501,235,330,127,0,108,235,AR,95
Fayetteville/Northwest Arkansas CoC,AR-501,359,550,251,0,238,489,AR,61
Fayetteville/Northwest Arkansas CoC,AR-501,348,474,107,0,216,323,AR,151
Fayetteville/Northwest Arkansas CoC,AR-501,330,665,431,0,173,604,AR,61
Fayetteville/Northwest Arkansas CoC,AR-501,109,186,54,0,93,147,AR,39
Arkansas  Balance of State  CoC,AR-503,505,774,317,0,68,385,AR,389
Arkansas  Balance of State  CoC,AR-503,1788,1930,399,0,163,562,AR,1368
Arkansas  Balance of State  CoC,AR-503,666,768,243,0,66,309,AR,459
Arkansas  Balance of State  CoC,AR-503,533,761,304,0,76,380,AR,381
Arkansas  Balance of State  CoC,AR-503,1603,1760,376,0,94,470,AR,1290
Arkansas  Balance of State  CoC,AR-503,762,1056,370,0,50,420,AR,636
Arkansas  Balance of State  CoC,AR-503,761,875,332,0,82,414,AR,461
Delta Hills CoC,AR-504,27,89,79,10,0,89,AR,0
Delta Hills CoC,AR-504,423,785,40,0,27,67,AR,718
Delta Hills CoC,AR-504,51,57,16,6,10,32,AR,25
Delta Hills CoC,AR-504,172,254,41,0,81,122,AR,132
Delta Hills CoC,AR-504,33,40,26,2,12,40,AR,0
Southeast Arkansas CoC,AR-505,39,70,58,0,12,70,AR,0
Southeast Arkansas CoC,AR-505,46,89,78,0,0,78,AR,11
Southeast Arkansas CoC,AR-505,51,72,59,0,12,71,AR,1
Southeast Arkansas CoC,AR-505,49,88,78,0,10,88,AR,0
Southeast Arkansas CoC,AR-505,43,64,64,0,0,64,AR,0
Southeast Arkansas CoC,AR-505,53,101,85,0,10,95,AR,6
Southeast Arkansas CoC,AR-505,34,64,63,0,0,63,AR,1
Fort Smith CoC,AR-508,163,185,95,0,18,113,AR,72
Fort Smith CoC,AR-508,131,168,62,0,18,80,AR,88
Fort Smith CoC,AR-508,150,179,74,0,13,87,AR,92
Fort Smith CoC,AR-508,131,166,92,0,19,111,AR,55
Fort Smith CoC,AR-508,212,231,147,0,18,165,AR,66
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
"Boone, Baxter, Marion, Newton Counties CoC",AR-512,,,,,,,AR,
Arizona Balance of State CoC,AZ-500,1448,2435,915,0,471,1386,AZ,1049
Arizona Balance of State CoC,AZ-500,1734,2240,771,0,252,1023,AZ,1217
Arizona Balance of State CoC,AZ-500,1381,2451,1186,0,536,1722,AZ,729
Arizona Balance of State CoC,AZ-500,1638,2187,850,0,252,1102,AZ,1085
Arizona Balance of State CoC,AZ-500,1679,2398,1019,0,330,1349,AZ,1049
Arizona Balance of State CoC,AZ-500,1434,1768,856,0,190,1046,AZ,722
Arizona Balance of State CoC,AZ-500,1723,2402,851,0,246,1097,AZ,1305
Tucson/Pima County CoC,AZ-501,1296,1863,540,15,945,1500,AZ,363
Tucson/Pima County CoC,AZ-501,1079,1380,666,14,337,1017,AZ,363
Tucson/Pima County CoC,AZ-501,1508,2366,762,15,980,1757,AZ,609
Tucson/Pima County CoC,AZ-501,1602,2238,801,13,923,1737,AZ,501
Tucson/Pima County CoC,AZ-501,1305,1765,568,15,801,1384,AZ,381
Tucson/Pima County CoC,AZ-501,1249,1574,731,15,443,1189,AZ,385
Tucson/Pima County CoC,AZ-501,1475,2179,714,15,983,1712,AZ,467
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3620,5702,2362,25,1669,4056,AZ,1646
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3529,5631,2004,25,2313,4342,AZ,1289
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3805,5605,2254,21,1271,3546,AZ,2059
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3040,5918,2558,25,2282,4865,AZ,1053
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3421,6485,2343,25,2368,4736,AZ,1749
"Phoenix, Mesa/Maricopa County CoC",AZ-502,4542,6298,2099,26,1555,3680,AZ,2618
"Phoenix, Mesa/Maricopa County CoC",AZ-502,3460,5889,2177,25,2106,4308,AZ,1581
San Jose/Santa Clara City & County CoC,CA-500,6564,7631,918,16,1023,1957,CA,5674
San Jose/Santa Clara City & County CoC,CA-500,5585,6524,777,10,1110,1897,CA,4627
San Jose/Santa Clara City & County CoC,CA-500,5648,6556,807,9,1113,1929,CA,4627
San Jose/Santa Clara City & County CoC,CA-500,6267,7254,1151,20,635,1806,CA,5448
San Jose/Santa Clara City & County CoC,CA-500,6319,7394,1140,0,806,1946,CA,5448
San Jose/Santa Clara City & County CoC,CA-500,6270,7053,926,9,949,1884,CA,5169
San Jose/Santa Clara City & County CoC,CA-500,6681,7567,819,9,1065,1893,CA,5674
San Francisco CoC,CA-501,6309,6996,2197,16,425,2638,CA,4358
San Francisco CoC,CA-501,6329,7008,1919,54,720,2693,CA,4315
San Francisco CoC,CA-501,5177,5895,1757,25,742,2524,CA,3371
San Francisco CoC,CA-501,6211,6857,2011,19,474,2504,CA,4353
San Francisco CoC,CA-501,6175,6775,1981,16,420,2417,CA,4358
San Francisco CoC,CA-501,6257,6858,2056,15,434,2505,CA,4353
San Francisco CoC,CA-501,5776,6408,1522,54,517,2093,CA,4315
"Oakland, Berkeley/Alameda County CoC",CA-502,4918,5629,1022,0,744,1766,CA,3863
"Oakland, Berkeley/Alameda County CoC",CA-502,4801,5496,962,11,660,1633,CA,3863
"Oakland, Berkeley/Alameda County CoC",CA-502,2922,4264,914,0,1013,1927,CA,2337
"Oakland, Berkeley/Alameda County CoC",CA-502,3208,4257,866,0,1179,2045,CA,2212
"Oakland, Berkeley/Alameda County CoC",CA-502,3162,4272,895,0,1040,1935,CA,2337
"Oakland, Berkeley/Alameda County CoC",CA-502,3148,4145,892,0,856,1748,CA,2397
"Oakland, Berkeley/Alameda County CoC",CA-502,3055,4040,794,0,849,1643,CA,2397
Sacramento City & County CoC,CA-503,3104,3621,1124,0,445,1569,CA,2052
Sacramento City & County CoC,CA-503,1985,2812,839,0,1018,1857,CA,955
Sacramento City & County CoC,CA-503,1925,2659,931,0,780,1711,CA,948
Sacramento City & County CoC,CA-503,3076,3665,977,0,636,1613,CA,2052
Sacramento City & County CoC,CA-503,1737,2538,808,0,944,1752,CA,786
Sacramento City & County CoC,CA-503,1683,2449,774,0,889,1663,CA,786
Sacramento City & County CoC,CA-503,1921,2500,870,0,682,1552,CA,948
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3829,4280,504,0,467,971,CA,3309
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3816,4266,570,0,387,957,CA,3309
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3890,4483,530,0,587,1117,CA,3366
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2517,2906,588,0,412,1000,CA,1906
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2730,3097,634,0,403,1037,CA,2060
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2509,2835,655,0,333,988,CA,1847
"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,2657,2996,801,0,266,1067,CA,1929
Richmond/Contra Costa County CoC,CA-505,1366,1730,454,0,166,620,CA,1110
Richmond/Contra Costa County CoC,CA-505,1703,2000,414,0,257,671,CA,1329
Richmond/Contra Costa County CoC,CA-505,1660,2009,423,0,257,680,CA,1329
Richmond/Contra Costa County CoC,CA-505,1634,2031,474,0,230,704,CA,1327
Richmond/Contra Costa County CoC,CA-505,1955,2234,552,0,145,697,CA,1537
Richmond/Contra Costa County CoC,CA-505,1352,1607,502,0,194,696,CA,911
Richmond/Contra Costa County CoC,CA-505,1960,2386,483,0,413,896,CA,1490
"Salinas/Monterey, San Benito Counties CoC",CA-506,2286,2962,287,0,469,756,CA,2206
"Salinas/Monterey, San Benito Counties CoC",CA-506,2536,3022,453,0,462,915,CA,2107
"Salinas/Monterey, San Benito Counties CoC",CA-506,2683,3299,333,0,452,785,CA,2514
"Salinas/Monterey, San Benito Counties CoC",CA-506,2506,2959,374,0,478,852,CA,2107
"Salinas/Monterey, San Benito Counties CoC",CA-506,2292,2955,355,0,394,749,CA,2206
"Salinas/Monterey, San Benito Counties CoC",CA-506,2719,3364,420,0,430,850,CA,2514
"Salinas/Monterey, San Benito Counties CoC",CA-506,1761,2673,267,0,495,762,CA,1911
Marin County CoC,CA-507,460,679,208,0,293,501,CA,178
Marin County CoC,CA-507,917,1117,226,0,183,409,CA,708
Marin County CoC,CA-507,516,725,201,0,295,496,CA,229
Marin County CoC,CA-507,1115,1318,229,0,254,483,CA,835
Marin County CoC,CA-507,920,1095,237,0,150,387,CA,708
Marin County CoC,CA-507,1070,1258,216,0,207,423,CA,835
Marin County CoC,CA-507,438,676,188,0,317,505,CA,171
Watsonville/Santa Cruz City & County CoC,CA-508,1911,2320,320,0,201,521,CA,1799
Watsonville/Santa Cruz City & County CoC,CA-508,2345,2735,370,0,240,610,CA,2125
Watsonville/Santa Cruz City & County CoC,CA-508,1454,1959,387,0,218,605,CA,1354
Watsonville/Santa Cruz City & County CoC,CA-508,1483,1964,396,0,214,610,CA,1354
Watsonville/Santa Cruz City & County CoC,CA-508,1846,2249,271,0,179,450,CA,1799
Watsonville/Santa Cruz City & County CoC,CA-508,2992,3536,402,0,239,641,CA,2895
Watsonville/Santa Cruz City & County CoC,CA-508,2996,3529,361,0,273,634,CA,2895
Mendocino County CoC,CA-509,1179,1238,113,0,47,160,CA,1078
Mendocino County CoC,CA-509,818,947,112,0,40,152,CA,795
Mendocino County CoC,CA-509,1267,1392,106,0,68,174,CA,1218
Mendocino County CoC,CA-509,1147,1242,117,0,75,192,CA,1050
Mendocino County CoC,CA-509,829,880,94,0,63,157,CA,723
Mendocino County CoC,CA-509,1347,1441,97,0,30,127,CA,1314
Mendocino County CoC,CA-509,1256,1404,117,0,69,186,CA,1218
"Turlock, Modesto/Stanislaus County CoC",CA-510,861,1470,322,0,357,679,CA,791
"Turlock, Modesto/Stanislaus County CoC",CA-510,1147,1434,566,0,138,704,CA,730
"Turlock, Modesto/Stanislaus County CoC",CA-510,1080,1356,578,0,172,750,CA,606
"Turlock, Modesto/Stanislaus County CoC",CA-510,1135,1408,558,0,167,725,CA,683
"Turlock, Modesto/Stanislaus County CoC",CA-510,824,1156,447,0,266,713,CA,443
"Turlock, Modesto/Stanislaus County CoC",CA-510,1256,1661,683,0,157,840,CA,821
"Turlock, Modesto/Stanislaus County CoC",CA-510,941,1201,337,0,219,556,CA,645
Stockton/San Joaquin County CoC,CA-511,1016,1542,794,0,181,975,CA,567
Stockton/San Joaquin County CoC,CA-511,1054,1685,927,0,191,1118,CA,567
Stockton/San Joaquin County CoC,CA-511,794,1541,760,0,518,1278,CA,263
Stockton/San Joaquin County CoC,CA-511,739,1569,819,0,503,1322,CA,247
Stockton/San Joaquin County CoC,CA-511,957,1708,628,0,545,1173,CA,535
Stockton/San Joaquin County CoC,CA-511,713,1588,744,0,581,1325,CA,263
Stockton/San Joaquin County CoC,CA-511,947,1780,609,0,636,1245,CA,535
Daly/San Mateo County CoC,CA-512,967,1483,289,0,419,708,CA,775
Daly/San Mateo County CoC,CA-512,1363,2024,271,0,454,725,CA,1299
Daly/San Mateo County CoC,CA-512,822,1253,211,0,405,616,CA,637
Daly/San Mateo County CoC,CA-512,811,1238,258,0,343,601,CA,637
Daly/San Mateo County CoC,CA-512,1274,1845,156,0,527,683,CA,1162
Daly/San Mateo County CoC,CA-512,911,1361,166,0,420,586,CA,775
Daly/San Mateo County CoC,CA-512,1374,1995,240,0,456,696,CA,1299
"Visalia/Kings, Tulare Counties CoC",CA-513,732,853,206,0,148,354,CA,499
"Visalia/Kings, Tulare Counties CoC",CA-513,646,792,155,0,171,326,CA,466
"Visalia/Kings, Tulare Counties CoC",CA-513,725,862,161,0,256,417,CA,445
"Visalia/Kings, Tulare Counties CoC",CA-513,566,771,147,0,269,416,CA,355
"Visalia/Kings, Tulare Counties CoC",CA-513,823,967,158,0,157,315,CA,652
"Visalia/Kings, Tulare Counties CoC",CA-513,547,705,182,0,227,409,CA,296
"Visalia/Kings, Tulare Counties CoC",CA-513,609,763,161,0,225,386,CA,377
Fresno City & County/Madera County CoC,CA-514,1684,1883,232,23,197,452,CA,1431
Fresno City & County/Madera County CoC,CA-514,2203,2592,297,23,389,709,CA,1883
Fresno City & County/Madera County CoC,CA-514,2421,3131,184,22,388,594,CA,2537
Fresno City & County/Madera County CoC,CA-514,1410,1722,208,24,307,539,CA,1183
Fresno City & County/Madera County CoC,CA-514,3554,4492,141,23,506,670,CA,3822
Fresno City & County/Madera County CoC,CA-514,1742,2016,333,24,130,487,CA,1529
Fresno City & County/Madera County CoC,CA-514,1886,2144,331,24,108,463,CA,1681
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,772,979,400,0,121,521,CA,458
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,861,1021,331,0,191,522,CA,499
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,611,796,216,0,81,297,CA,499
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,689,908,196,0,189,385,CA,523
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,766,950,367,0,125,492,CA,458
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,508,742,172,0,215,387,CA,355
"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,619,762,166,0,73,239,CA,523
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,461,630,201,0,347,548,CA,82
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,1065,1272,185,0,127,312,CA,960
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,721,934,264,0,266,530,CA,404
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,631,851,260,0,244,504,CA,347
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,955,1149,248,0,211,459,CA,690
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,384,524,250,0,92,342,CA,182
"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,504,591,154,0,90,244,CA,347
Napa City & County CoC,CA-517,276,322,122,0,46,168,CA,154
Napa City & County CoC,CA-517,184,248,109,0,47,156,CA,92
Napa City & County CoC,CA-517,205,285,135,0,59,194,CA,91
Napa City & County CoC,CA-517,235,317,143,0,56,199,CA,118
Napa City & County CoC,CA-517,226,293,132,0,47,179,CA,114
Napa City & County CoC,CA-517,168,245,119,0,58,177,CA,68
Napa City & County CoC,CA-517,233,315,148,0,51,199,CA,116
Vallejo/Solano County CoC,CA-518,1163,1329,193,0,247,440,CA,889
Vallejo/Solano County CoC,CA-518,1085,1295,178,0,228,406,CA,889
Vallejo/Solano County CoC,CA-518,968,1082,108,0,179,287,CA,795
Vallejo/Solano County CoC,CA-518,383,622,154,0,233,387,CA,235
Vallejo/Solano County CoC,CA-518,1070,1232,132,0,183,315,CA,917
Vallejo/Solano County CoC,CA-518,1052,1129,144,0,68,212,CA,917
Vallejo/Solano County CoC,CA-518,955,1118,170,0,153,323,CA,795
"Chico, Paradise/Butte County CoC",CA-519,586,696,171,0,102,273,CA,423
"Chico, Paradise/Butte County CoC",CA-519,946,1125,274,0,106,380,CA,745
"Chico, Paradise/Butte County CoC",CA-519,440,574,182,0,107,289,CA,285
"Chico, Paradise/Butte County CoC",CA-519,760,897,195,0,162,357,CA,540
"Chico, Paradise/Butte County CoC",CA-519,472,571,211,0,75,286,CA,285
"Chico, Paradise/Butte County CoC",CA-519,599,712,179,0,110,289,CA,423
"Chico, Paradise/Butte County CoC",CA-519,997,1195,285,0,165,450,CA,745
Merced City & County CoC,CA-520,479,502,89,0,75,164,CA,338
Merced City & County CoC,CA-520,504,516,80,0,80,160,CA,356
Merced City & County CoC,CA-520,456,514,104,0,98,202,CA,312
Merced City & County CoC,CA-520,447,454,83,0,73,156,CA,298
Merced City & County CoC,CA-520,735,768,91,0,68,159,CA,609
Merced City & County CoC,CA-520,345,372,86,0,31,117,CA,255
Merced City & County CoC,CA-520,863,898,99,0,56,155,CA,743
"Davis, Woodland/Yolo County CoC",CA-521,362,498,163,0,142,305,CA,193
"Davis, Woodland/Yolo County CoC",CA-521,345,474,107,0,169,276,CA,198
"Davis, Woodland/Yolo County CoC",CA-521,322,532,189,0,150,339,CA,193
"Davis, Woodland/Yolo County CoC",CA-521,317,442,111,0,133,244,CA,198
"Davis, Woodland/Yolo County CoC",CA-521,383,513,104,0,146,250,CA,263
"Davis, Woodland/Yolo County CoC",CA-521,318,459,204,0,46,250,CA,209
"Davis, Woodland/Yolo County CoC",CA-521,316,448,179,0,60,239,CA,209
Humboldt County CoC,CA-522,1022,1180,83,0,161,244,CA,936
Humboldt County CoC,CA-522,667,759,244,0,81,325,CA,434
Humboldt County CoC,CA-522,605,703,188,0,81,269,CA,434
Humboldt County CoC,CA-522,989,1134,118,0,80,198,CA,936
Humboldt County CoC,CA-522,593,932,94,0,154,248,CA,684
Humboldt County CoC,CA-522,600,864,55,0,125,180,CA,684
Humboldt County CoC,CA-522,633,846,260,0,132,392,CA,454
"Colusa, Glenn, Trinity Counties CoC",CA-523,162,268,66,0,29,95,CA,173
"Colusa, Glenn, Trinity Counties CoC",CA-523,80,136,29,0,27,56,CA,80
"Colusa, Glenn, Trinity Counties CoC",CA-523,71,115,6,0,29,35,CA,80
