CoC_Name,CoC_Number,Homeless_Individuals,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_SH_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,State,Unsheltered_Homeless
"Colusa, Glenn, Trinity Counties CoC",CA-523,118,176,13,0,30,43,CA,133
"Colusa, Glenn, Trinity Counties CoC",CA-523,185,303,80,0,84,164,CA,139
"Colusa, Glenn, Trinity Counties CoC",CA-523,487,696,183,0,89,272,CA,424
"Colusa, Glenn, Trinity Counties CoC",CA-523,410,567,59,0,84,143,CA,424
Yuba City & County/Sutter County CoC,CA-524,348,726,347,0,0,347,CA,379
Yuba City & County/Sutter County CoC,CA-524,420,716,175,0,30,205,CA,511
Yuba City & County/Sutter County CoC,CA-524,311,492,133,0,139,272,CA,220
Yuba City & County/Sutter County CoC,CA-524,387,702,106,0,85,191,CA,511
Yuba City & County/Sutter County CoC,CA-524,457,765,292,0,0,292,CA,473
Yuba City & County/Sutter County CoC,CA-524,750,1485,344,0,762,1106,CA,379
Yuba City & County/Sutter County CoC,CA-524,557,760,287,0,0,287,CA,473
El Dorado County CoC,CA-525,446,602,59,0,47,106,CA,496
El Dorado County CoC,CA-525,141,180,27,0,104,131,CA,49
El Dorado County CoC,CA-525,155,217,110,0,70,180,CA,37
El Dorado County CoC,CA-525,157,269,46,0,75,121,CA,148
El Dorado County CoC,CA-525,477,645,111,0,38,149,CA,496
El Dorado County CoC,CA-525,192,269,72,0,49,121,CA,148
El Dorado County CoC,CA-525,181,195,66,0,80,146,CA,49
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,269,382,61,0,81,142,CA,240
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,204,379,45,0,65,110,CA,269
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,259,367,84,0,19,103,CA,264
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,337,430,76,0,52,128,CA,302
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,257,376,99,0,37,136,CA,240
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,509,632,92,0,59,151,CA,481
"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,265,398,103,0,31,134,CA,264
Tehama County CoC,CA-527,107,125,55,0,14,69,CA,56
Tehama County CoC,CA-527,103,124,52,0,16,68,CA,56
Tehama County CoC,CA-527,115,138,37,0,41,78,CA,60
Tehama County CoC,CA-527,103,133,63,0,10,73,CA,60
Del Norte County CoC,CA-528,305,437,16,0,0,16,CA,421
Lake County CoC,CA-529,210,332,32,0,12,44,CA,288
Lake County CoC,CA-529,294,401,17,0,11,28,CA,373
Lake County CoC,CA-529,211,315,15,0,12,27,CA,288
Lake County CoC,CA-529,547,615,12,0,12,24,CA,591
"Alpine, Inyo, Mono Counties CoC",CA-530,46,53,7,0,1,8,CA,45
"Alpine, Inyo, Mono Counties CoC",CA-530,145,157,1,0,0,1,CA,156
"Alpine, Inyo, Mono Counties CoC",CA-530,110,130,0,0,11,11,CA,119
"Alpine, Inyo, Mono Counties CoC",CA-530,102,121,5,0,0,5,CA,116
Los Angeles City & County CoC,CA-600,42079,49955,8819,44,3522,12385,CA,37570
Los Angeles City & County CoC,CA-600,28164,34393,6214,21,5568,11803,CA,22590
Los Angeles City & County CoC,CA-600,44586,52442,8832,18,5122,13972,CA,38470
Los Angeles City & County CoC,CA-600,33669,41174,6880,24,5322,12226,CA,28948
Los Angeles City & County CoC,CA-600,24609,31553,7173,22,6618,13813,CA,17740
Los Angeles City & County CoC,CA-600,37726,43854,6010,15,5048,11073,CA,32781
Los Angeles City & County CoC,CA-600,28846,35524,6468,21,6445,12934,CA,22590
San Diego City and County CoC,CA-601,7063,8576,1948,64,1574,3586,CA,4990
San Diego City and County CoC,CA-601,7571,9160,1572,42,1925,3539,CA,5621
San Diego City and County CoC,CA-601,6761,8742,1493,52,3041,4586,CA,4156
San Diego City and County CoC,CA-601,7013,8879,947,47,3311,4305,CA,4574
San Diego City and County CoC,CA-601,6499,8506,1179,51,3291,4521,CA,3985
San Diego City and County CoC,CA-601,6955,8669,1250,52,2427,3729,CA,4940
San Diego City and County CoC,CA-601,7755,10013,1040,52,3279,4371,CA,5642
"Santa Ana, Anaheim/Orange County CoC",CA-602,3780,4955,1435,0,936,2371,CA,2584
"Santa Ana, Anaheim/Orange County CoC",CA-602,5257,7010,1154,0,1584,2738,CA,4272
"Santa Ana, Anaheim/Orange County CoC",CA-602,2712,4251,1145,0,1428,2573,CA,1678
"Santa Ana, Anaheim/Orange County CoC",CA-602,3028,4319,943,0,1175,2118,CA,2201
"Santa Ana, Anaheim/Orange County CoC",CA-602,3073,4452,925,0,1326,2251,CA,2201
"Santa Ana, Anaheim/Orange County CoC",CA-602,2561,3833,851,0,1304,2155,CA,1678
"Santa Ana, Anaheim/Orange County CoC",CA-602,3527,4792,1248,0,960,2208,CA,2584
Santa Maria/Santa Barbara County CoC,CA-603,1422,1860,760,0,207,967,CA,893
Santa Maria/Santa Barbara County CoC,CA-603,1393,1729,600,0,239,839,CA,890
Santa Maria/Santa Barbara County CoC,CA-603,1335,1706,618,0,195,813,CA,893
Santa Maria/Santa Barbara County CoC,CA-603,1318,1546,499,0,179,678,CA,868
Santa Maria/Santa Barbara County CoC,CA-603,1385,1813,666,0,257,923,CA,890
Santa Maria/Santa Barbara County CoC,CA-603,1443,1832,576,0,278,854,CA,978
Santa Maria/Santa Barbara County CoC,CA-603,1464,1882,471,0,433,904,CA,978
Bakersfield/Kern County CoC,CA-604,875,1067,385,0,176,561,CA,506
Bakersfield/Kern County CoC,CA-604,623,810,368,0,173,541,CA,269
Bakersfield/Kern County CoC,CA-604,725,992,382,0,195,577,CA,415
Bakersfield/Kern County CoC,CA-604,924,1152,378,0,169,547,CA,605
Bakersfield/Kern County CoC,CA-604,1146,1352,368,0,151,519,CA,833
Bakersfield/Kern County CoC,CA-604,715,885,394,0,121,515,CA,370
Bakersfield/Kern County CoC,CA-604,733,954,361,0,184,545,CA,409
Long Beach CoC,CA-606,1908,2250,405,0,332,737,CA,1513
Long Beach CoC,CA-606,1678,1873,387,0,278,665,CA,1208
Long Beach CoC,CA-606,2260,2738,396,18,445,859,CA,1879
Long Beach CoC,CA-606,2609,3170,420,19,528,967,CA,2203
Long Beach CoC,CA-606,1937,2345,391,25,416,832,CA,1513
Long Beach CoC,CA-606,1646,1863,354,0,301,655,CA,1208
Long Beach CoC,CA-606,2322,2847,389,24,555,968,CA,1879
Pasadena CoC,CA-607,573,677,177,0,38,215,CA,462
Pasadena CoC,CA-607,517,632,83,0,107,190,CA,442
Pasadena CoC,CA-607,465,575,173,0,55,228,CA,347
Pasadena CoC,CA-607,779,904,354,0,113,467,CA,437
Pasadena CoC,CA-607,512,666,138,0,127,265,CA,401
Pasadena CoC,CA-607,453,530,100,0,78,178,CA,352
Pasadena CoC,CA-607,503,772,267,0,112,379,CA,393
Riverside City & County CoC,CA-608,2374,2978,550,0,540,1090,CA,1888
Riverside City & County CoC,CA-608,2390,2945,575,0,482,1057,CA,1888
Riverside City & County CoC,CA-608,2087,2316,532,0,99,631,CA,1685
Riverside City & County CoC,CA-608,1900,2165,557,0,257,814,CA,1351
Riverside City & County CoC,CA-608,2172,2406,587,0,181,768,CA,1638
Riverside City & County CoC,CA-608,2066,2372,609,0,275,884,CA,1488
Riverside City & County CoC,CA-608,5605,6096,479,0,527,1006,CA,5090
San Bernardino City & County CoC,CA-609,1524,2149,445,0,393,838,CA,1311
San Bernardino City & County CoC,CA-609,1781,2532,382,0,458,840,CA,1692
San Bernardino City & County CoC,CA-609,1401,2321,518,0,556,1074,CA,1247
San Bernardino City & County CoC,CA-609,1432,1866,378,17,292,687,CA,1179
San Bernardino City & County CoC,CA-609,1593,2118,356,24,295,675,CA,1443
San Bernardino City & County CoC,CA-609,1422,1887,318,0,378,696,CA,1191
San Bernardino City & County CoC,CA-609,1531,2315,454,0,614,1068,CA,1247
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1294,1674,334,10,256,600,CA,1074
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1109,1308,289,11,178,478,CA,830
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,969,1152,283,10,195,488,CA,664
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1086,1428,240,10,268,518,CA,910
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1627,1926,350,10,323,683,CA,1243
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1084,1417,304,11,145,460,CA,957
"Oxnard, San Buenaventura/Ventura County CoC",CA-611,1011,1271,306,10,178,494,CA,777
Glendale CoC,CA-612,176,240,154,0,31,185,CA,55
Glendale CoC,CA-612,72,168,71,0,40,111,CA,57
Glendale CoC,CA-612,133,208,45,0,41,86,CA,122
Glendale CoC,CA-612,168,260,52,0,52,104,CA,156
Glendale CoC,CA-612,204,292,107,0,78,185,CA,107
Glendale CoC,CA-612,165,299,94,0,85,179,CA,120
Glendale CoC,CA-612,200,318,124,0,87,211,CA,107
Imperial County CoC,CA-613,158,239,93,0,43,136,CA,103
Imperial County CoC,CA-613,1034,1154,82,0,46,128,CA,1026
Imperial County CoC,CA-613,181,298,104,0,60,164,CA,134
Imperial County CoC,CA-613,1311,1493,117,0,43,160,CA,1333
Imperial County CoC,CA-613,280,380,79,0,49,128,CA,252
Imperial County CoC,CA-613,161,252,89,0,59,148,CA,104
Imperial County CoC,CA-613,432,554,150,0,40,190,CA,364
San Luis Obispo County CoC,CA-614,1919,2357,169,0,66,235,CA,2122
San Luis Obispo County CoC,CA-614,993,1095,248,0,25,273,CA,822
San Luis Obispo County CoC,CA-614,1200,1368,145,0,100,245,CA,1123
San Luis Obispo County CoC,CA-614,1912,2366,172,0,72,244,CA,2122
San Luis Obispo County CoC,CA-614,1752,2129,156,0,72,228,CA,1901
San Luis Obispo County CoC,CA-614,1157,1515,337,0,55,392,CA,1123
San Luis Obispo County CoC,CA-614,977,1125,260,0,43,303,CA,822
Colorado Balance of State CoC,CO-500,2568,4019,972,0,539,1511,CO,2508
Colorado Balance of State CoC,CO-500,1905,3545,937,0,777,1714,CO,1831
Colorado Balance of State CoC,CO-500,2546,3989,932,0,549,1481,CO,2508
Colorado Balance of State CoC,CO-500,1256,2188,674,0,509,1183,CO,1005
Colorado Balance of State CoC,CO-500,1275,2267,729,0,533,1262,CO,1005
Colorado Balance of State CoC,CO-500,1615,9283,631,0,384,1015,CO,8268
Colorado Balance of State CoC,CO-500,2006,3520,958,0,731,1689,CO,1831
Metropolitan Denver CoC,CO-503,3915,5317,2574,22,1413,4009,CO,1308
Metropolitan Denver CoC,CO-503,3039,5335,2349,24,2217,4590,CO,745
Metropolitan Denver CoC,CO-503,2609,6316,2819,23,2546,5388,CO,928
Metropolitan Denver CoC,CO-503,3581,5728,2918,46,1967,4931,CO,797
Metropolitan Denver CoC,CO-503,2677,6358,2441,25,2928,5394,CO,964
Metropolitan Denver CoC,CO-503,3495,6621,2885,23,3042,5950,CO,671
Metropolitan Denver CoC,CO-503,4031,5506,2627,25,1960,4612,CO,894
Colorado Springs/El Paso County CoC,CO-504,780,1171,477,0,464,941,CO,230
Colorado Springs/El Paso County CoC,CO-504,809,1127,430,0,421,851,CO,276
Colorado Springs/El Paso County CoC,CO-504,863,1302,591,0,400,991,CO,311
Colorado Springs/El Paso County CoC,CO-504,1146,1551,652,0,386,1038,CO,513
Colorado Springs/El Paso County CoC,CO-504,785,1073,496,0,334,830,CO,243
Colorado Springs/El Paso County CoC,CO-504,972,1415,536,0,422,958,CO,457
Colorado Springs/El Paso County CoC,CO-504,822,1219,443,0,507,950,CO,269
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,430,778,484,0,212,696,CT,82
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,721,1083,519,0,253,772,CT,311
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,725,1059,498,0,250,748,CT,311
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,432,741,492,0,167,659,CT,82
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,587,902,469,0,272,741,CT,161
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,547,913,545,0,228,773,CT,140
"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,525,886,513,0,217,730,CT,156
Connecticut Balance of State CoC,CT-505,2376,3389,1892,0,889,2781,CT,608
Connecticut Balance of State CoC,CT-505,2045,3016,1857,0,642,2499,CT,517
Connecticut Balance of State CoC,CT-505,1778,2610,1765,0,511,2276,CT,334
Connecticut Balance of State CoC,CT-505,2348,3367,1962,0,797,2759,CT,608
Connecticut Balance of State CoC,CT-505,2319,3307,1802,0,971,2773,CT,534
Connecticut Balance of State CoC,CT-505,1848,3235,2387,0,349,2736,CT,499
Connecticut Balance of State CoC,CT-505,2172,3134,1873,0,775,2648,CT,486
District of Columbia CoC,DC-500,3583,7473,5363,0,1213,6576,DC,897
District of Columbia CoC,DC-500,3953,7748,5754,0,1598,7352,DC,396
District of Columbia CoC,DC-500,3821,7298,5085,0,1669,6754,DC,544
District of Columbia CoC,DC-500,3770,6904,5095,0,1209,6304,DC,600
District of Columbia CoC,DC-500,3696,6865,4010,0,2343,6353,DC,512
District of Columbia CoC,DC-500,3683,8350,6259,0,1773,8032,DC,318
District of Columbia CoC,DC-500,3767,6954,3772,0,2503,6275,DC,679
Delaware Statewide CoC,DE-500,708,1082,702,5,282,989,DE,93
Delaware Statewide CoC,DE-500,753,1070,621,0,398,1019,DE,51
Delaware Statewide CoC,DE-500,615,994,564,0,372,936,DE,58
Delaware Statewide CoC,DE-500,584,901,435,0,429,864,DE,37
Delaware Statewide CoC,DE-500,602,953,529,0,387,916,DE,37
Delaware Statewide CoC,DE-500,575,946,516,10,410,936,DE,10
Delaware Statewide CoC,DE-500,611,1008,527,10,449,986,DE,22
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,1202,1447,449,0,336,785,FL,662
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,733,921,369,0,295,664,FL,257
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,1131,1377,463,0,317,780,FL,597
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,978,1198,417,0,304,721,FL,477
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,848,1049,335,0,228,563,FL,486
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,1219,1468,419,0,385,804,FL,664
"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,954,1192,488,0,252,740,FL,452
Tampa/Hillsborough County CoC,FL-501,1070,1549,668,15,299,982,FL,567
Tampa/Hillsborough County CoC,FL-501,1363,1931,669,9,497,1175,FL,756
Tampa/Hillsborough County CoC,FL-501,1193,1795,858,13,284,1155,FL,640
Tampa/Hillsborough County CoC,FL-501,1326,1909,387,19,559,965,FL,944
Tampa/Hillsborough County CoC,FL-501,4515,7419,377,20,575,972,FL,6447
Tampa/Hillsborough County CoC,FL-501,1284,1817,631,10,407,1048,FL,769
Tampa/Hillsborough County CoC,FL-501,1443,1944,314,7,532,853,FL,1091
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2903,3387,1367,38,810,2215,FL,1172
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2383,2777,1118,39,481,1638,FL,1139
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,3188,3913,1033,43,750,1826,FL,2087
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2253,2612,1299,40,308,1647,FL,965
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2865,3391,1353,41,819,2213,FL,1178
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2922,3971,1191,38,722,1951,FL,2020
"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,2466,2831,1294,36,349,1679,FL,1152
"Lakeland, Winterhaven/Polk County CoC",FL-503,405,520,118,0,207,325,FL,195
"Lakeland, Winterhaven/Polk County CoC",FL-503,348,464,138,0,89,227,FL,237
"Lakeland, Winterhaven/Polk County CoC",FL-503,451,536,138,0,110,248,FL,288
"Lakeland, Winterhaven/Polk County CoC",FL-503,354,552,194,0,224,418,FL,134
"Lakeland, Winterhaven/Polk County CoC",FL-503,750,881,122,0,175,297,FL,584
"Lakeland, Winterhaven/Polk County CoC",FL-503,342,512,145,0,218,363,FL,149
"Lakeland, Winterhaven/Polk County CoC",FL-503,417,635,201,0,174,375,FL,260
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,749,1005,233,0,191,424,FL,581
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,930,1325,218,0,332,550,FL,775
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,2123,2384,81,0,422,503,FL,1881
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,1171,1633,102,0,506,608,FL,1025
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,1779,2176,148,0,545,693,FL,1483
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,555,753,112,0,193,305,FL,448
"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,484,683,87,0,190,277,FL,406
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,567,1658,154,19,210,383,FL,1275
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,566,683,154,0,118,272,FL,411
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,521,629,168,21,83,272,FL,357
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,975,2438,271,0,239,510,FL,1928
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,556,1577,228,0,74,302,FL,1275
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,247,401,68,0,62,130,FL,271
"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,348,495,53,0,30,83,FL,412
Tallahassee/Leon County CoC,FL-506,640,909,677,0,133,810,FL,99
Tallahassee/Leon County CoC,FL-506,635,869,555,0,166,721,FL,148
Tallahassee/Leon County CoC,FL-506,625,863,320,0,326,646,FL,217
Tallahassee/Leon County CoC,FL-506,810,974,367,0,382,749,FL,225
Tallahassee/Leon County CoC,FL-506,679,805,307,0,310,617,FL,188
Tallahassee/Leon County CoC,FL-506,634,797,389,0,349,738,FL,59
Tallahassee/Leon County CoC,FL-506,810,1072,682,0,268,950,FL,122
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,2330,3661,856,17,1345,2218,FL,1443
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1392,2112,887,0,933,1820,FL,292
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1342,2074,950,0,784,1734,FL,340
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,3055,4378,929,24,1368,2321,FL,2057
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1390,2254,974,0,1014,1988,FL,266
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1340,2053,1183,0,510,1693,FL,360
"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,1094,1670,826,0,711,1537,FL,133
"Gainesville/Alachua, Putnam Counties CoC",FL-508,1074,1718,213,0,200,413,FL,1305
"Gainesville/Alachua, Putnam Counties CoC",FL-508,643,756,272,0,51,323,FL,433
"Gainesville/Alachua, Putnam Counties CoC",FL-508,1476,1814,202,0,187,389,FL,1425
"Gainesville/Alachua, Putnam Counties CoC",FL-508,788,870,129,0,188,317,FL,553
"Gainesville/Alachua, Putnam Counties CoC",FL-508,596,844,291,0,128,419,FL,425
"Gainesville/Alachua, Putnam Counties CoC",FL-508,699,819,304,0,69,373,FL,446
"Gainesville/Alachua, Putnam Counties CoC",FL-508,1134,1256,161,0,207,368,FL,888
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,854,1542,430,0,83,513,FL,1029
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,917,1724,65,0,114,179,FL,1545
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,925,2382,97,0,151,248,FL,2134
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,750,1732,80,0,103,183,FL,1549
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,866,2240,65,0,159,224,FL,2016
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,1299,2412,123,0,113,236,FL,2176
"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,1360,2591,97,0,152,249,FL,2342
"Jacksonville-Duval, Clay Counties CoC",FL-510,1444,1869,933,0,504,1437,FL,432
"Jacksonville-Duval, Clay Counties CoC",FL-510,1354,1853,839,0,588,1427,FL,426
"Jacksonville-Duval, Clay Counties CoC",FL-510,1938,2768,856,0,815,1671,FL,1097
"Jacksonville-Duval, Clay Counties CoC",FL-510,1466,1959,907,0,611,1518,FL,441
"Jacksonville-Duval, Clay Counties CoC",FL-510,2294,2861,842,0,700,1542,FL,1319
"Jacksonville-Duval, Clay Counties CoC",FL-510,1410,1794,878,0,487,1365,FL,429
"Jacksonville-Duval, Clay Counties CoC",FL-510,1375,2049,1050,0,706,1756,FL,293
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,721,843,271,0,340,611,FL,232
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,467,632,236,0,251,487,FL,145
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,619,758,218,0,283,501,FL,257
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,615,798,366,0,250,616,FL,182
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,789,945,242,0,321,563,FL,382
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,667,792,171,0,355,526,FL,266
"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,874,1014,186,0,352,538,FL,476
St. Johns County CoC,FL-512,219,342,101,0,77,178,FL,164
St. Johns County CoC,FL-512,1103,1437,72,0,161,233,FL,1204
St. Johns County CoC,FL-512,781,1064,112,0,143,255,FL,809
St. Johns County CoC,FL-512,996,1385,64,0,120,184,FL,1201
St. Johns County CoC,FL-512,295,445,89,0,90,179,FL,266
St. Johns County CoC,FL-512,897,1161,97,0,101,198,FL,963
St. Johns County CoC,FL-512,1062,1401,97,0,100,197,FL,1204
"Palm Bay, Melbourne/Brevard County CoC",FL-513,616,1072,159,0,525,684,FL,388
"Palm Bay, Melbourne/Brevard County CoC",FL-513,583,845,211,0,381,592,FL,253
"Palm Bay, Melbourne/Brevard County CoC",FL-513,1043,1477,95,0,522,617,FL,860
"Palm Bay, Melbourne/Brevard County CoC",FL-513,521,734,61,0,420,481,FL,253
"Palm Bay, Melbourne/Brevard County CoC",FL-513,505,827,174,0,470,644,FL,183
"Palm Bay, Melbourne/Brevard County CoC",FL-513,1386,2062,242,0,501,743,FL,1319
"Palm Bay, Melbourne/Brevard County CoC",FL-513,1065,1567,60,0,647,707,FL,860
Ocala/Marion County CoC,FL-514,443,572,168,0,133,301,FL,271
Ocala/Marion County CoC,FL-514,599,725,160,0,130,290,FL,435
Ocala/Marion County CoC,FL-514,373,530,163,0,162,325,FL,205
Ocala/Marion County CoC,FL-514,619,787,163,0,96,259,FL,528
Ocala/Marion County CoC,FL-514,650,823,196,0,99,295,FL,528
Ocala/Marion County CoC,FL-514,787,911,107,0,204,311,FL,600
Ocala/Marion County CoC,FL-514,564,918,147,0,127,274,FL,644
"Panama City/Bay, Jackson Counties CoC",FL-515,266,310,40,0,134,174,FL,136
"Panama City/Bay, Jackson Counties CoC",FL-515,258,301,39,0,162,201,FL,100
"Panama City/Bay, Jackson Counties CoC",FL-515,285,336,48,0,95,143,FL,193
"Panama City/Bay, Jackson Counties CoC",FL-515,244,322,106,0,129,235,FL,87
"Panama City/Bay, Jackson Counties CoC",FL-515,313,381,39,0,70,109,FL,272
"Panama City/Bay, Jackson Counties CoC",FL-515,272,317,43,0,140,183,FL,134
"Panama City/Bay, Jackson Counties CoC",FL-515,224,268,69,0,127,196,FL,72
