CoC_Name,CoC_Number,Homeless_Individuals,Overall_Homeless,Sheltered_ES_Homeless,Sheltered_SH_Homeless,Sheltered_TH_Homeless,Sheltered_Total_Homeless,State,Unsheltered_Homeless
"Portland, Gresham/Multnomah County CoC",OR-501,3394,4019,1804,0,547,2351,OR,1668
"Portland, Gresham/Multnomah County CoC",OR-501,2918,4423,892,0,1817,2709,OR,1714
"Portland, Gresham/Multnomah County CoC",OR-501,3209,3914,1237,0,790,2027,OR,1887
"Portland, Gresham/Multnomah County CoC",OR-501,3115,3927,679,0,1353,2032,OR,1895
"Portland, Gresham/Multnomah County CoC",OR-501,3520,4177,1752,0,757,2509,OR,1668
"Portland, Gresham/Multnomah County CoC",OR-501,3132,3801,872,0,1042,1914,OR,1887
"Portland, Gresham/Multnomah County CoC",OR-501,3183,4441,974,0,1572,2546,OR,1895
"Medford, Ashland/Jackson County CoC",OR-502,525,633,213,0,156,369,OR,264
"Medford, Ashland/Jackson County CoC",OR-502,501,625,252,0,147,399,OR,226
"Medford, Ashland/Jackson County CoC",OR-502,472,548,237,0,199,436,OR,112
"Medford, Ashland/Jackson County CoC",OR-502,560,691,159,5,277,441,OR,250
"Medford, Ashland/Jackson County CoC",OR-502,624,732,240,0,163,403,OR,329
"Medford, Ashland/Jackson County CoC",OR-502,447,527,151,0,137,288,OR,239
"Medford, Ashland/Jackson County CoC",OR-502,620,729,122,0,225,347,OR,382
Central Oregon CoC,OR-503,460,808,107,0,169,276,OR,532
Central Oregon CoC,OR-503,588,787,191,0,41,232,OR,555
Central Oregon CoC,OR-503,316,506,126,0,135,261,OR,245
Central Oregon CoC,OR-503,383,594,138,0,51,189,OR,405
Central Oregon CoC,OR-503,292,568,107,0,216,323,OR,245
Central Oregon CoC,OR-503,386,602,156,0,41,197,OR,405
Central Oregon CoC,OR-503,494,778,181,0,49,230,OR,548
Oregon Balance of State CoC,OR-505,3429,5710,1077,0,782,1859,OR,3851
Oregon Balance of State CoC,OR-505,2114,4122,1272,0,1072,2344,OR,1778
Oregon Balance of State CoC,OR-505,2978,5525,969,5,1225,2199,OR,3326
Oregon Balance of State CoC,OR-505,3902,5795,1036,0,990,2026,OR,3769
Oregon Balance of State CoC,OR-505,3342,6105,934,4,1097,2035,OR,4070
Oregon Balance of State CoC,OR-505,4419,6392,1042,0,816,1858,OR,4534
Oregon Balance of State CoC,OR-505,3320,5544,1257,0,985,2242,OR,3302
"Hillsboro, Beaverton/Washington County CoC",OR-506,407,522,65,8,90,163,OR,359
"Hillsboro, Beaverton/Washington County CoC",OR-506,348,544,56,7,112,175,OR,369
"Hillsboro, Beaverton/Washington County CoC",OR-506,399,591,71,9,116,196,OR,395
"Hillsboro, Beaverton/Washington County CoC",OR-506,281,537,82,10,106,198,OR,339
"Hillsboro, Beaverton/Washington County CoC",OR-506,399,751,87,10,212,309,OR,442
"Hillsboro, Beaverton/Washington County CoC",OR-506,303,432,66,8,126,200,OR,232
"Hillsboro, Beaverton/Washington County CoC",OR-506,383,571,74,8,111,193,OR,378
Clackamas County CoC,OR-507,357,494,98,0,88,186,OR,308
Clackamas County CoC,OR-507,317,383,3,0,34,37,OR,346
Clackamas County CoC,OR-507,338,619,40,0,101,141,OR,478
Clackamas County CoC,OR-507,333,618,37,0,103,140,OR,478
Clackamas County CoC,OR-507,298,463,38,0,117,155,OR,308
Clackamas County CoC,OR-507,385,497,87,0,64,151,OR,346
Clackamas County CoC,OR-507,570,993,29,0,95,124,OR,869
Philadelphia CoC,PA-500,3346,5998,3558,109,1661,5328,PA,670
Philadelphia CoC,PA-500,3109,5738,3642,113,1622,5377,PA,361
Philadelphia CoC,PA-500,3589,5788,3420,235,1050,4705,PA,1083
Philadelphia CoC,PA-500,2976,5780,3324,66,1890,5280,PA,500
Philadelphia CoC,PA-500,3070,5645,3238,99,1782,5119,PA,526
Philadelphia CoC,PA-500,3341,5693,3275,84,1378,4737,PA,956
Philadelphia CoC,PA-500,3430,6112,3656,77,1674,5407,PA,705
Harrisburg/Dauphin County CoC,PA-501,260,445,263,22,125,410,PA,35
Harrisburg/Dauphin County CoC,PA-501,214,390,184,15,143,342,PA,48
Harrisburg/Dauphin County CoC,PA-501,309,460,238,22,130,390,PA,70
Harrisburg/Dauphin County CoC,PA-501,237,396,192,27,138,357,PA,39
Harrisburg/Dauphin County CoC,PA-501,235,433,205,15,170,390,PA,43
Harrisburg/Dauphin County CoC,PA-501,204,402,199,21,166,386,PA,16
Harrisburg/Dauphin County CoC,PA-501,235,386,178,14,136,328,PA,58
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,276,436,285,0,91,376,PA,60
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,247,406,283,0,88,371,PA,35
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,251,453,311,0,102,413,PA,40
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,251,546,292,0,209,501,PA,45
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,234,414,290,0,71,361,PA,53
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,244,604,356,0,210,566,PA,38
"Upper Darby, Chester, Haverford/Delaware County CoC",PA-502,257,509,280,0,182,462,PA,47
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,95,165,78,0,81,159,PA,6
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,115,192,83,0,97,180,PA,12
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,100,174,77,0,81,158,PA,16
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,109,169,82,0,78,160,PA,9
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,106,165,65,0,88,153,PA,12
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,82,174,82,0,89,171,PA,3
"Wilkes-Barre, Hazleton/Luzerne County CoC",PA-503,94,178,61,0,112,173,PA,5
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,180,429,197,0,229,426,PA,3
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,195,438,212,0,220,432,PA,6
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,131,310,192,0,99,291,PA,19
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,163,398,229,0,149,378,PA,20
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,148,419,199,0,197,396,PA,23
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,141,291,226,0,45,271,PA,20
"Lower Merion, Norristown, Abington/Montgomery County CoC",PA-504,184,464,185,0,266,451,PA,13
Chester County CoC,PA-505,387,578,260,0,294,554,PA,24
Chester County CoC,PA-505,385,558,198,0,355,553,PA,5
Chester County CoC,PA-505,476,691,244,8,415,667,PA,24
Chester County CoC,PA-505,428,612,250,0,347,597,PA,15
Chester County CoC,PA-505,498,641,240,8,350,598,PA,43
Chester County CoC,PA-505,498,679,267,8,365,640,PA,39
Chester County CoC,PA-505,365,579,266,0,300,566,PA,13
Reading/Berks County CoC,PA-506,366,534,290,0,231,521,PA,13
Reading/Berks County CoC,PA-506,385,561,287,0,270,557,PA,4
Reading/Berks County CoC,PA-506,383,604,301,0,292,593,PA,11
Reading/Berks County CoC,PA-506,406,562,305,0,246,551,PA,11
Reading/Berks County CoC,PA-506,356,521,259,0,259,518,PA,3
Reading/Berks County CoC,PA-506,276,468,243,0,212,455,PA,13
Reading/Berks County CoC,PA-506,216,340,158,0,165,323,PA,17
Scranton/Lackawanna County CoC,PA-508,117,287,90,4,188,282,PA,5
Scranton/Lackawanna County CoC,PA-508,100,159,76,8,70,154,PA,5
Scranton/Lackawanna County CoC,PA-508,116,242,80,4,147,231,PA,11
Scranton/Lackawanna County CoC,PA-508,117,233,68,4,151,223,PA,10
Scranton/Lackawanna County CoC,PA-508,98,197,56,4,123,183,PA,14
Scranton/Lackawanna County CoC,PA-508,92,260,59,4,175,238,PA,22
Scranton/Lackawanna County CoC,PA-508,92,252,62,4,181,247,PA,5
Eastern Pennsylvania CoC,PA-509,955,2021,861,0,925,1786,PA,235
Eastern Pennsylvania CoC,PA-509,974,2081,856,0,908,1764,PA,317
Eastern Pennsylvania CoC,PA-509,1391,2599,1061,0,935,1996,PA,603
Eastern Pennsylvania CoC,PA-509,1201,2410,1029,0,965,1994,PA,416
Eastern Pennsylvania CoC,PA-509,664,1752,707,0,914,1621,PA,131
Eastern Pennsylvania CoC,PA-509,1108,1998,1032,0,620,1652,PA,346
Eastern Pennsylvania CoC,PA-509,1209,2170,1004,0,761,1765,PA,405
Lancaster City & County CoC,PA-510,162,356,201,0,148,349,PA,7
Lancaster City & County CoC,PA-510,194,378,150,0,218,368,PA,10
Lancaster City & County CoC,PA-510,257,498,251,0,241,492,PA,6
Lancaster City & County CoC,PA-510,180,321,181,0,114,295,PA,26
Lancaster City & County CoC,PA-510,226,406,248,0,142,390,PA,16
Lancaster City & County CoC,PA-510,241,562,200,0,353,553,PA,9
Lancaster City & County CoC,PA-510,259,518,202,0,306,508,PA,10
"Bristol, Bensalem/Bucks County CoC",PA-511,184,492,154,0,310,464,PA,28
"Bristol, Bensalem/Bucks County CoC",PA-511,142,458,122,0,285,407,PA,51
"Bristol, Bensalem/Bucks County CoC",PA-511,198,511,139,0,323,462,PA,49
"Bristol, Bensalem/Bucks County CoC",PA-511,194,397,155,0,223,378,PA,19
"Bristol, Bensalem/Bucks County CoC",PA-511,200,530,170,0,330,500,PA,30
"Bristol, Bensalem/Bucks County CoC",PA-511,193,487,140,0,309,449,PA,38
"Bristol, Bensalem/Bucks County CoC",PA-511,136,451,110,0,300,410,PA,41
York City & County CoC,PA-512,125,278,132,0,116,248,PA,30
York City & County CoC,PA-512,134,288,116,0,127,243,PA,45
York City & County CoC,PA-512,163,302,162,0,110,272,PA,30
York City & County CoC,PA-512,164,365,165,0,129,294,PA,71
York City & County CoC,PA-512,158,345,165,0,136,301,PA,44
York City & County CoC,PA-512,129,284,141,0,118,259,PA,25
York City & County CoC,PA-512,167,324,177,0,114,291,PA,33
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,919,1424,440,69,877,1386,PA,38
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,756,1145,622,22,448,1092,PA,53
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,755,1156,460,54,594,1108,PA,48
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,816,1376,430,68,822,1320,PA,56
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,509,783,575,6,146,727,PA,56
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,827,1492,369,68,964,1401,PA,91
"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",PA-600,995,1573,493,75,897,1465,PA,108
Western Pennsylvania CoC,PA-601,600,1101,490,47,508,1045,PA,56
Western Pennsylvania CoC,PA-601,567,1002,448,53,436,937,PA,65
Western Pennsylvania CoC,PA-601,471,748,435,9,266,710,PA,38
Western Pennsylvania CoC,PA-601,654,1170,521,35,504,1060,PA,110
Western Pennsylvania CoC,PA-601,566,1097,499,42,490,1031,PA,66
Western Pennsylvania CoC,PA-601,571,986,445,41,431,917,PA,69
Western Pennsylvania CoC,PA-601,531,837,451,38,285,774,PA,63
Beaver County CoC,PA-603,49,90,21,0,66,87,PA,3
Beaver County CoC,PA-603,44,95,40,0,53,93,PA,2
Beaver County CoC,PA-603,67,117,79,0,32,111,PA,6
Beaver County CoC,PA-603,34,98,66,0,22,88,PA,10
Beaver County CoC,PA-603,65,110,28,0,77,105,PA,5
Beaver County CoC,PA-603,48,120,61,0,52,113,PA,7
Beaver County CoC,PA-603,58,131,71,0,54,125,PA,6
Erie City & County CoC,PA-605,258,435,223,0,160,383,PA,52
Erie City & County CoC,PA-605,289,410,222,6,166,394,PA,16
Erie City & County CoC,PA-605,191,439,240,0,153,393,PA,46
Erie City & County CoC,PA-605,264,369,241,0,120,361,PA,8
Erie City & County CoC,PA-605,231,336,238,0,94,332,PA,4
Erie City & County CoC,PA-605,250,408,215,0,146,361,PA,47
Erie City & County CoC,PA-605,257,377,219,0,148,367,PA,10
Puerto Rico Balance of Commonwealth CoC,PR-502,1789,2094,188,21,718,927,PR,1167
Puerto Rico Balance of Commonwealth CoC,PR-502,1678,1883,173,22,487,682,PR,1201
Puerto Rico Balance of Commonwealth CoC,PR-502,1746,2085,222,21,675,918,PR,1167
Puerto Rico Balance of Commonwealth CoC,PR-502,2112,2422,183,22,663,868,PR,1554
Puerto Rico Balance of Commonwealth CoC,PR-502,2046,2343,172,22,595,789,PR,1554
Puerto Rico Balance of Commonwealth CoC,PR-502,1348,1685,200,22,583,805,PR,880
Puerto Rico Balance of Commonwealth CoC,PR-502,1527,1643,153,12,277,442,PR,1201
South-Southeast Puerto Rico CoC,PR-503,1686,2047,184,43,261,488,PR,1559
South-Southeast Puerto Rico CoC,PR-503,1681,2034,151,47,277,475,PR,1559
South-Southeast Puerto Rico CoC,PR-503,1146,1527,157,41,343,541,PR,986
South-Southeast Puerto Rico CoC,PR-503,1817,2096,216,41,296,553,PR,1543
South-Southeast Puerto Rico CoC,PR-503,1394,1539,189,4,35,228,PR,1311
South-Southeast Puerto Rico CoC,PR-503,1753,2075,171,35,326,532,PR,1543
South-Southeast Puerto Rico CoC,PR-503,1463,1642,223,4,104,331,PR,1311
Rhode Island Statewide CoC,RI-500,747,1101,739,0,311,1050,RI,51
Rhode Island Statewide CoC,RI-500,779,1190,803,22,345,1170,RI,20
Rhode Island Statewide CoC,RI-500,706,1111,743,0,332,1075,RI,36
Rhode Island Statewide CoC,RI-500,788,1277,805,18,426,1249,RI,28
Rhode Island Statewide CoC,RI-500,862,1384,850,17,400,1267,RI,117
Rhode Island Statewide CoC,RI-500,859,1160,822,0,301,1123,RI,37
Rhode Island Statewide CoC,RI-500,802,1180,807,0,304,1111,RI,69
Charleston/Low Country CoC,SC-500,416,483,155,0,116,271,SC,212
Charleston/Low Country CoC,SC-500,357,451,254,3,80,337,SC,114
Charleston/Low Country CoC,SC-500,393,425,99,0,122,221,SC,204
Charleston/Low Country CoC,SC-500,635,733,181,0,151,332,SC,401
Charleston/Low Country CoC,SC-500,526,606,221,0,220,441,SC,165
Charleston/Low Country CoC,SC-500,519,550,174,0,113,287,SC,263
Charleston/Low Country CoC,SC-500,425,516,229,0,150,379,SC,137
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,786,1324,520,12,607,1139,SC,185
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,1187,1829,873,12,684,1569,SC,260
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,1362,1961,683,12,860,1555,SC,406
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,1488,2308,713,12,875,1600,SC,708
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,916,1185,705,12,132,849,SC,336
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,1060,1636,673,12,561,1246,SC,390
"Greenville, Anderson, Spartanburg/Upstate CoC",SC-501,898,1317,681,13,238,932,SC,385
Columbia/Midlands CoC,SC-502,954,1205,726,0,279,1005,SC,200
Columbia/Midlands CoC,SC-502,1306,1648,559,0,387,946,SC,702
Columbia/Midlands CoC,SC-502,939,1200,585,0,308,893,SC,307
Columbia/Midlands CoC,SC-502,1558,2007,609,0,464,1073,SC,934
Columbia/Midlands CoC,SC-502,1238,1588,693,0,469,1162,SC,426
Columbia/Midlands CoC,SC-502,1087,1350,554,0,461,1015,SC,335
Columbia/Midlands CoC,SC-502,1189,1468,574,0,492,1066,SC,402
"Myrtle Beach, Sumter City & County CoC",SC-503,855,1092,312,0,86,398,SC,694
"Myrtle Beach, Sumter City & County CoC",SC-503,857,1319,161,0,235,396,SC,923
"Myrtle Beach, Sumter City & County CoC",SC-503,1090,1317,187,0,275,462,SC,855
"Myrtle Beach, Sumter City & County CoC",SC-503,965,1322,231,0,259,490,SC,832
"Myrtle Beach, Sumter City & County CoC",SC-503,819,1460,226,0,194,420,SC,1040
"Myrtle Beach, Sumter City & County CoC",SC-503,666,974,254,0,115,369,SC,605
"Myrtle Beach, Sumter City & County CoC",SC-503,1055,1496,174,0,232,406,SC,1090
South Dakota Statewide CoC,SD-500,548,1072,616,0,271,887,SD,185
South Dakota Statewide CoC,SD-500,611,943,590,0,182,772,SD,171
South Dakota Statewide CoC,SD-500,836,1159,707,0,167,874,SD,285
South Dakota Statewide CoC,SD-500,512,859,514,0,281,795,SD,64
South Dakota Statewide CoC,SD-500,630,1036,642,0,258,900,SD,136
South Dakota Statewide CoC,SD-500,557,1094,433,0,322,755,SD,339
South Dakota Statewide CoC,SD-500,490,885,528,0,302,830,SD,55
Chattanooga/Southeast Tennessee CoC,TN-500,452,576,298,0,61,359,TN,217
Chattanooga/Southeast Tennessee CoC,TN-500,429,627,352,0,104,456,TN,171
Chattanooga/Southeast Tennessee CoC,TN-500,430,636,375,0,114,489,TN,147
Chattanooga/Southeast Tennessee CoC,TN-500,389,591,280,0,142,422,TN,169
Chattanooga/Southeast Tennessee CoC,TN-500,361,527,353,0,97,450,TN,77
Chattanooga/Southeast Tennessee CoC,TN-500,498,623,318,0,12,330,TN,293
Chattanooga/Southeast Tennessee CoC,TN-500,364,548,291,0,83,374,TN,174
Memphis/Shelby County CoC,TN-501,1007,1525,511,0,936,1447,TN,78
Memphis/Shelby County CoC,TN-501,1144,1675,617,0,937,1554,TN,121
Memphis/Shelby County CoC,TN-501,1386,2076,487,0,1263,1750,TN,326
Memphis/Shelby County CoC,TN-501,1151,1816,461,0,1199,1660,TN,156
Memphis/Shelby County CoC,TN-501,1121,1669,723,0,825,1548,TN,121
Memphis/Shelby County CoC,TN-501,915,1426,708,0,639,1347,TN,79
Memphis/Shelby County CoC,TN-501,878,1226,598,0,526,1124,TN,102
Knoxville/Knox County CoC,TN-502,674,748,399,0,268,667,TN,81
Knoxville/Knox County CoC,TN-502,772,854,382,0,339,721,TN,133
Knoxville/Knox County CoC,TN-502,674,743,336,0,221,557,TN,186
Knoxville/Knox County CoC,TN-502,897,993,440,0,410,850,TN,143
Knoxville/Knox County CoC,TN-502,701,812,404,0,274,678,TN,134
Knoxville/Knox County CoC,TN-502,685,783,411,0,276,687,TN,96
Knoxville/Knox County CoC,TN-502,750,861,521,0,259,780,TN,81
Central Tennessee CoC,TN-503,185,268,148,0,96,244,TN,24
Central Tennessee CoC,TN-503,189,268,99,0,110,209,TN,59
Central Tennessee CoC,TN-503,190,245,107,0,125,232,TN,13
Central Tennessee CoC,TN-503,201,285,133,0,127,260,TN,25
Central Tennessee CoC,TN-503,227,296,125,0,145,270,TN,26
Central Tennessee CoC,TN-503,224,286,121,0,119,240,TN,46
Central Tennessee CoC,TN-503,245,283,124,0,146,270,TN,13
Nashville-Davidson County CoC,TN-504,1904,2234,1593,12,422,2027,TN,207
Nashville-Davidson County CoC,TN-504,1760,2154,1116,8,560,1684,TN,470
Nashville-Davidson County CoC,TN-504,1990,2337,1390,0,308,1698,TN,639
Nashville-Davidson County CoC,TN-504,2069,2365,1230,0,462,1692,TN,673
Nashville-Davidson County CoC,TN-504,1690,1934,844,12,715,1571,TN,363
Nashville-Davidson County CoC,TN-504,1806,2069,1171,11,637,1819,TN,250
Nashville-Davidson County CoC,TN-504,2103,2298,1300,5,377,1682,TN,616
Upper Cumberland CoC,TN-506,275,362,91,0,85,176,TN,186
Upper Cumberland CoC,TN-506,254,342,109,0,75,184,TN,158
Upper Cumberland CoC,TN-506,480,658,109,0,50,159,TN,499
Upper Cumberland CoC,TN-506,135,249,161,0,26,187,TN,62
Upper Cumberland CoC,TN-506,207,372,80,0,68,148,TN,224
Upper Cumberland CoC,TN-506,157,252,165,0,3,168,TN,84
Upper Cumberland CoC,TN-506,150,258,194,0,18,212,TN,46
Jackson/West Tennessee CoC,TN-507,1119,1541,114,7,42,163,TN,1378
Jackson/West Tennessee CoC,TN-507,985,1563,91,7,53,151,TN,1412
Jackson/West Tennessee CoC,TN-507,1071,1692,135,8,87,230,TN,1462
Jackson/West Tennessee CoC,TN-507,707,1103,97,6,31,134,TN,969
Jackson/West Tennessee CoC,TN-507,1021,1673,190,8,72,270,TN,1403
Jackson/West Tennessee CoC,TN-507,606,1026,80,6,36,122,TN,904
Jackson/West Tennessee CoC,TN-507,1014,1601,138,5,62,205,TN,1396
Appalachian Regional CoC,TN-509,291,360,191,0,59,250,TN,110
Appalachian Regional CoC,TN-509,342,450,231,0,74,305,TN,145
Appalachian Regional CoC,TN-509,366,448,221,0,78,299,TN,149
Appalachian Regional CoC,TN-509,303,424,225,0,98,323,TN,101
Appalachian Regional CoC,TN-509,438,577,322,0,103,425,TN,152
Appalachian Regional CoC,TN-509,487,694,347,0,70,417,TN,277
Appalachian Regional CoC,TN-509,472,598,291,0,141,432,TN,166
Murfreesboro/Rutherford County CoC,TN-510,221,289,133,0,36,169,TN,120
Murfreesboro/Rutherford County CoC,TN-510,190,258,141,0,41,182,TN,76
Murfreesboro/Rutherford County CoC,TN-510,177,241,106,0,55,161,TN,80
Murfreesboro/Rutherford County CoC,TN-510,229,283,166,0,43,209,TN,74
Murfreesboro/Rutherford County CoC,TN-510,249,316,193,0,34,227,TN,89
Murfreesboro/Rutherford County CoC,TN-510,238,306,150,0,37,187,TN,119
Murfreesboro/Rutherford County CoC,TN-510,149,218,90,0,32,122,TN,96
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,423,752,277,0,91,368,TN,384
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,525,798,216,0,82,298,TN,500
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,419,933,277,0,46,323,TN,610
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,526,966,391,0,51,442,TN,524
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,342,630,253,0,57,310,TN,320
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,529,796,222,0,82,304,TN,492
"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",TN-512,500,777,193,0,103,296,TN,481
San Antonio/Bexar County CoC,TX-500,1289,3670,1308,42,693,2043,TX,1627
San Antonio/Bexar County CoC,TX-500,2065,2891,1063,41,629,1733,TX,1158
San Antonio/Bexar County CoC,TX-500,2165,2980,1033,44,660,1737,TX,1243
San Antonio/Bexar County CoC,TX-500,2265,3066,1311,0,402,1713,TX,1353
San Antonio/Bexar County CoC,TX-500,1899,2743,1030,0,611,1641,TX,1102
San Antonio/Bexar County CoC,TX-500,2048,2781,982,17,645,1644,TX,1137
San Antonio/Bexar County CoC,TX-500,1925,2892,1037,43,890,1970,TX,922
Austin/Travis County CoC,TX-503,1287,1987,991,13,535,1539,TX,448
Austin/Travis County CoC,TX-503,1474,2090,847,15,463,1325,TX,765
Austin/Travis County CoC,TX-503,1513,2138,890,16,416,1322,TX,816
Austin/Travis County CoC,TX-503,1595,2147,730,15,388,1133,TX,1014
Austin/Travis County CoC,TX-503,1572,2244,772,16,587,1375,TX,869
Austin/Travis County CoC,TX-503,1266,1832,768,13,384,1165,TX,667
Austin/Travis County CoC,TX-503,1460,2036,821,11,370,1202,TX,834
"Dallas City & County, Irving CoC",TX-600,2990,3789,1897,19,786,2702,TX,1087
"Dallas City & County, Irving CoC",TX-600,3187,4121,1972,23,785,2780,TX,1341
"Dallas City & County, Irving CoC",TX-600,1598,3447,1840,25,1377,3242,TX,205
"Dallas City & County, Irving CoC",TX-600,1861,3514,2072,24,1176,3272,TX,242
"Dallas City & County, Irving CoC",TX-600,2633,3810,1968,23,1080,3071,TX,739
"Dallas City & County, Irving CoC",TX-600,2219,3141,1775,23,980,2778,TX,363
"Dallas City & County, Irving CoC",TX-600,1962,3163,1708,23,1181,2912,TX,251
"Fort Worth, Arlington/Tarrant County CoC",TX-601,1269,2123,1166,21,800,1987,TX,136
"Fort Worth, Arlington/Tarrant County CoC",TX-601,1379,1938,1088,20,407,1515,TX,423
"Fort Worth, Arlington/Tarrant County CoC",TX-601,1351,1914,1245,20,432,1697,TX,217
"Fort Worth, Arlington/Tarrant County CoC",TX-601,1390,2425,1273,20,948,2241,TX,184
